Agressor_Radio,Aggressor_Band,Agg_Channel,Victim_Radio,Victim_Band,Vic_Channel,EMI,RX_Power,Desense,Sensitivity 
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,30.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,32.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,34.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,36.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,38.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,40.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,42.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,44.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,46.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,48.0,5.16,-4.8,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,50.0,2.33,-4.8,2.33,-105.67)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,52.0,-8.08,-4.8,-8.08,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,54.0,-6.86,-4.8,-6.86,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,56.0,-5.44,-4.8,-5.44,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,58.0,-4.45,-4.8,-4.45,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,60.0,-3.6,-4.8,-3.6,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,118.0,VHF_1 - Top,Close Air Support - FM Rx,62.0,-2.53,-4.8,-2.53,-108.0)
